,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2018-06-28,5898.1298828125,6261.66015625,5835.75,6218.2998046875,6218.2998046875,3966230016.0,BTC-USD,5849.8726,6276.1201171875,0.0,-57.8203125
2018-07-07,6857.7998046875,6885.91015625,6747.97998046875,6773.8798828125,6773.8798828125,3386210048.0,BTC-USD,6892.154,7711.10986328125,937.22998046875,0.0
2018-07-09,6739.2099609375,6767.740234375,6320.72021484375,6329.9501953125,6329.9501953125,4052430080.0,BTC-USD,6673.2827,8181.39013671875,1851.43994140625,0.0
2018-07-15,6357.009765625,6741.75,6357.009765625,6741.75,6741.75,4725799936.0,BTC-USD,5675.358,7780.43994140625,0.0,-1038.68994140625
2018-07-16,6739.64990234375,7387.240234375,6684.169921875,7321.0400390625,7321.0400390625,5961950208.0,BTC-USD,6037.09,7624.91015625,0.0,-303.8701171875
2018-07-21,7417.7998046875,7537.9501953125,7383.81982421875,7418.490234375,7418.490234375,3695460096.0,BTC-USD,7740.0054,6951.7998046875,-466.6904296875,0.0
2018-07-22,7414.7099609375,7771.5,7409.10009765625,7711.10986328125,7711.10986328125,5132480000.0,BTC-USD,7824.888,6753.1201171875,-957.98974609375,0.0
2018-07-28,8205.8203125,8272.259765625,8141.18017578125,8218.4599609375,8218.4599609375,4107190016.0,BTC-USD,8409.375,6297.56982421875,-1920.89013671875,0.0
2018-07-29,8221.580078125,8235.5,7917.5,8180.47998046875,8180.47998046875,5551400000.0,BTC-USD,8298.928,6199.7099609375,-1980.77001953125,0.0
2018-07-30,8181.2001953125,8181.52978515625,7696.93017578125,7780.43994140625,7780.43994140625,5287530000.0,BTC-USD,8076.495,6308.52001953125,-1471.919921875,0.0
2018-08-02,7562.14013671875,7562.14013671875,7328.64990234375,7434.39013671875,7434.39013671875,4627150000.0,BTC-USD,7019.4443,6423.759765625,0.0,1010.63037109375
2018-08-03,7438.669921875,7497.490234375,6984.06982421875,7032.85009765625,7032.85009765625,4268390000.0,BTC-USD,6639.85,6506.06982421875,0.0,526.7802734375
2018-08-06,6958.31982421875,7146.56005859375,6748.240234375,6753.1201171875,6753.1201171875,4682800000.0,BTC-USD,5805.669,6376.7099609375,0.0,376.41015625
2018-08-10,6185.7900390625,6455.740234375,6109.02978515625,6295.72998046875,6295.72998046875,4047850000.0,BTC-USD,5255.077,6707.259765625,0.0,-411.52978515625
2018-08-16,6340.91015625,6582.5,6324.97021484375,6580.6298828125,6580.6298828125,4992990000.0,BTC-USD,6821.7627,7193.25,612.6201171875,0.0
2018-08-22,6371.33984375,6546.5400390625,6371.33984375,6534.8798828125,6534.8798828125,3426180000.0,BTC-USD,7336.368,6467.06982421875,-67.81005859375,0.0
2018-08-24,6719.9501953125,6789.6298828125,6700.9599609375,6763.18994140625,6763.18994140625,3312600000.0,BTC-USD,7293.4185,6300.85986328125,-462.330078125,0.0
2018-08-26,6710.7998046875,6884.64013671875,6689.7099609375,6884.64013671875,6884.64013671875,4019000000.0,BTC-USD,7169.517,6321.2001953125,-563.43994140625,0.0
2018-08-31,7044.81005859375,7242.2900390625,7038.0498046875,7193.25,7193.25,4116050000.0,BTC-USD,6852.061,6517.18017578125,0.0,676.06982421875
2018-09-01,7189.580078125,7306.31005859375,7132.16015625,7272.72021484375,7272.72021484375,4329540000.0,BTC-USD,6818.2246,6281.2001953125,0.0,991.52001953125
2018-09-04,7361.4599609375,7388.43017578125,6792.830078125,6792.830078125,6792.830078125,5800460000.0,BTC-USD,6674.455,6519.669921875,0.0,273.16015625
